optimiser,folder_unf,folder_lr,folder_dropout,num_seeds,best_val_loss,best_val_loss_std,total_train_time_s,total_train_time_s_std,total_val_time_s,total_val_time_s_std,accuracy,accuracy_std,tn,tn_std,fp,fp_std,fn,fn_std,tp,tp_std,f1_score,f1_score_std
SGD,1,0.0005,0.15,10,0.2088,0.02869,4946.603,859.88195,346.768,59.97416,0.92229,0.01242,203.9,5.9339,23.1,5.9339,14.9,4.28045,247.1,4.28045,0.92864,0.01106
SGD,1,0.0005,0.2,10,0.20576,0.02801,5001.095,726.13848,349.68,50.60713,0.92311,0.01404,205.2,3.88158,21.8,3.88158,15.8,5.55378,246.2,5.55378,0.92899,0.01333
SGD,1,0.0005,0.25,10,0.2017,0.02871,5515.201,259.12253,385.096,17.85701,0.92434,0.01414,204.4,6.11374,22.6,6.11374,14.4,3.62706,247.6,3.62706,0.93054,0.01252
SGD,1,0.005,0.15,10,0.16289,0.01519,1759.167,525.85313,122.785,36.50132,0.93497,0.00707,208.5,4.37798,18.5,4.37798,13.3,4.1379,248.7,4.1379,0.9399,0.00653
SGD,1,0.005,0.2,10,0.16541,0.01924,1694.159,360.5051,118.096,25.02865,0.93599,0.00955,207.7,3.30151,19.3,3.30151,12.0,3.8873,250.0,3.8873,0.94107,0.00892
SGD,1,0.005,0.25,10,0.16105,0.03149,1810.99,402.47358,126.395,27.87737,0.93742,0.01308,209.2,4.61399,17.8,4.61399,12.8,3.2249,249.2,3.2249,0.94219,0.0119
SGD,2,0.0001,0.15,10,0.28303,0.0552,5832.128,31.42771,393.021,2.14683,0.88671,0.03347,188.8,17.09321,38.2,17.09321,17.2,2.65832,244.8,2.65832,0.89911,0.02665
SGD,2,0.0001,0.2,10,0.27693,0.05823,5847.858,30.84007,393.16,1.3542,0.89059,0.03238,192.4,15.74943,34.6,15.74943,18.9,4.04008,243.1,4.04008,0.90149,0.02637
SGD,2,0.0001,0.25,10,0.29291,0.06069,5825.207,29.68786,392.404,1.31877,0.88221,0.03592,186.8,17.99259,40.2,17.99259,17.4,3.3731,244.6,3.3731,0.89548,0.02857
SGD,2,0.0005,0.15,10,0.18048,0.02374,4497.704,1022.01247,302.682,69.00687,0.93313,0.00857,207.2,3.45768,19.8,3.45768,12.9,4.01248,249.1,4.01248,0.93839,0.008
SGD,2,0.0005,0.2,10,0.1756,0.02821,4694.262,1310.04407,316.16,87.85749,0.93497,0.01256,207.1,5.3427,19.9,5.3427,11.9,3.69534,250.1,3.69534,0.94026,0.01128
SGD,2,0.0005,0.25,10,0.17667,0.02852,4678.476,1223.833,314.631,81.94813,0.93313,0.00974,207.6,4.06065,19.4,4.06065,13.3,3.4657,248.7,3.4657,0.93832,0.00887
SGD,2,0.005,0.15,10,0.16006,0.0313,1183.761,244.85558,79.656,16.55965,0.93742,0.01181,209.5,4.35252,17.5,4.35252,13.1,3.69534,248.9,3.69534,0.9421,0.01082
SGD,2,0.005,0.2,10,0.15746,0.02976,1357.491,403.96668,91.335,27.19052,0.93845,0.01259,209.0,4.76095,18.0,4.76095,12.1,3.90014,249.9,3.90014,0.94321,0.01142
SGD,2,0.005,0.25,10,0.15731,0.02705,1188.219,215.62758,79.942,14.50117,0.93742,0.00946,209.0,2.98142,18.0,2.98142,12.6,3.77712,249.4,3.77712,0.94218,0.00884
