optimiser,folder_unf,folder_lr,folder_dropout,num_seeds,best_val_loss,best_val_loss_std,total_train_time_s,total_train_time_s_std,total_val_time_s,total_val_time_s_std,accuracy,accuracy_std,tn,tn_std,fp,fp_std,fn,fn_std,tp,tp_std,f1_score,f1_score_std
AdamW,1,0.0005,0.25,10,0.15171,0.02668,68.474,22.28536,13.485,4.54998,0.94417,0.0061,211.8,2.39444,15.2,2.39444,12.1,3.14289,249.9,3.14289,0.94819,0.00584
AdamW,1,0.005,0.15,10,0.16538,0.02805,116.279,53.61467,23.022,10.84025,0.9364,0.01198,208.6,4.11501,18.4,4.11501,12.7,3.86005,249.3,3.86005,0.94129,0.01109
AdamW,1,0.005,0.2,10,0.17318,0.0263,107.069,62.54658,21.178,12.59574,0.93129,0.01224,207.7,5.88878,19.3,5.88878,14.3,4.16467,247.7,4.16467,0.93652,0.01101
AdamW,1,0.005,0.25,10,0.17389,0.03405,118.283,88.94618,23.452,17.91725,0.93292,0.01533,208.7,5.16505,18.3,5.16505,14.5,4.27525,247.5,4.27525,0.93788,0.01412
AdamW,2,0.0001,0.15,10,0.15562,0.02706,72.154,8.05693,12.733,1.43592,0.94192,0.01243,209.8,4.80278,17.2,4.80278,11.2,2.97396,250.8,2.97396,0.94646,0.01125
AdamW,2,0.0001,0.2,10,0.15008,0.03102,83.473,29.60192,14.814,5.45648,0.94703,0.00837,211.8,3.4254,15.2,3.4254,10.7,3.30151,251.3,3.30151,0.95099,0.0077
AdamW,2,0.0001,0.25,10,0.15348,0.0283,90.065,34.68397,16.034,6.39728,0.94663,0.01045,212.5,3.27448,14.5,3.27448,11.6,3.83551,250.4,3.83551,0.95045,0.00979
AdamW,2,0.0005,0.15,10,0.15113,0.02597,88.163,44.06324,15.703,8.09404,0.94581,0.01039,212.3,5.03433,14.7,5.03433,11.8,3.08401,250.2,3.08401,0.94975,0.00932
AdamW,2,0.0005,0.2,10,0.15251,0.02753,88.752,42.0129,15.815,7.73552,0.94744,0.00868,212.0,4.2947,15.0,4.2947,10.7,2.75076,251.3,2.75076,0.95138,0.0078
AdamW,2,0.0005,0.25,10,0.16092,0.0214,81.651,33.35901,14.531,6.1499,0.94458,0.00809,212.1,3.07137,14.9,3.07137,12.2,4.28952,249.8,4.28952,0.94851,0.0078
